STATE,CITY,AREA,CRAWL DATE, HOTEL RATING,SPECIAL ADDED VALUE,HOTELS LOCATION RATING,EXCELLENT EXPERIENCE REPORTED BY VISITORS,AVERAGE EXPERIENCE REPORTED BY VISITOR,POOR EXPERIENCE REPORTED BY VISITORS,TERRIBLE EXPERIENCE REPROTED BY VISITOR,PROPERTY TYPE,QUERY DATE,QUERY TIME,RATING BASED ON VALUE FOR MONEY,RATING BASED ON FOOD,APPROVAL RATING
Haryana,Karnal,Sector 32,11-07-2016,5,no,4,20,11,3,0,Hotel,11-07-2016,2.10.17 PM,4.1,3.1,65.875
Madhya Pradesh,Khajuraho,Temple Road,11-07-2016,1,no,4.6,13,2,1,0,Hotel,11-07-2016,2.10.17 PM,4.4,3.3,70.125
Himachal Pradesh,Kasauli,Barog Hills,11-07-2016,4,no,4.4,4,1,0,1,Hotel,11-07-2016,2.10.17 PM,4.5,4.4,70
Jammu and Kashmir,Katra,Katra Bus Stand,11-07-2016,3,no,4.7,181,41,9,7,Hotel,11-07-2016,2.10.17 PM,4.3,1.9,66.875
Tamilnadu,Kodaikanal,Coakers Walk,11-07-2016,2,no,4.6,92,23,3,0,Hotel,11-07-2016,2.10.17 PM,4.7,3.6,73.5
Madhya Pradesh,Khajuraho,Airport Road,11-07-2016,1,no,4.2,4,7,2,1,Hotel,11-07-2016,2.10.17 PM,3.9,3.1,63.375
J & K State,Katra,Katra Bus Stand,11-07-2016,3,no,4.4,1,1,4,0,Hotel,11-07-2016,2.10.17 PM,3.4,2.4,57.5
Uttrakhand,Kausani,Distt. Bageshwar,11-07-2016,3,no,4.7,10,4,1,1,Hotel,11-07-2016,2.10.17 PM,3.9,1.9,65.875
Jammu and Kashmir,Katra,Katra Bus Stand,11-07-2016,3,no,4.6,7,2,0,0,Hotel,11-07-2016,2.10.17 PM,4.5,3,70.75
Tamilnadu,Kanyakumari,Kanyakumari,11-07-2016,1,no,4.4,7,2,1,0,Hotel,11-07-2016,2.10.17 PM,4.3,3.3,67.625
Telangana,Karimnagar,Karimnagar,11-07-2016,3,no,4.7,2,0,1,0,Hotel,11-07-2016,2.10.17 PM,4,4,70
Jammu and Kashmir,Katra,Panthal Road,11-07-2016,2,no,5,1,0,0,0,Hotel,11-07-2016,2.10.17 PM,5,5,81.25
Tamil Nadu,Kodaikanal,Laws Ghat Road,11-07-2016,3,yes,4,63,30,9,3,Hotel,11-07-2016,2.10.17 PM,4.2,3.4,66.75
Uttrakhand,Kausani,Kausani Estate,11-07-2016,2,no,4.9,9,1,0,0,Hotel,11-07-2016,2.10.17 PM,4.8,2.1,73.625
Uttarakhand,Kedarnath,Kedarnath Sitapur NH-58,11-07-2016,4,no,4.4,5,0,1,1,Hotel,11-07-2016,2.10.17 PM,4.3,0,63
Jammu,Katra,Jammu Road,11-07-2016,3,no,4.2,49,22,5,4,Hotel,11-07-2016,2.10.17 PM,4.4,2.9,67.125
Madhya Pradesh,Khajuraho,Jain Temple Rd,11-07-2016,1,no,5,0,0,0,0,Hotel,11-07-2016,2.10.17 PM,5,3,78.75
Tamilnadu,Coimbatore,Gandhipuram,11-07-2016,2,yes,4.9,56,1,0,0,Hotel,11-07-2016,12.54.10 PM,4.9,3,76.25
Karnataka,Coorg,Madikeri,11-07-2016,2,no,3.7,14,53,40,22,Hotel,11-07-2016,12.54.10 PM,3.2,1.9,51.875
Kerala,Cochin,Mattanchery,11-07-2016,3,no,5,1,0,0,0,Hotel,11-07-2016,12.54.10 PM,5,4,80
Karnataka,Coorg,Polibetta,11-07-2016,2,no,4.5,5,1,2,0,Hotel,11-07-2016,12.54.10 PM,4.3,2.1,62.625
Karnataka,Coorg,Suntikoppa,11-07-2016,2,no,3.3,4,10,13,10,Hotel,11-07-2016,12.54.10 PM,2.9,2.2,47.25
Karnataka,Coorg,Madikeri,11-07-2016,2,no,4.5,35,17,4,4,Hotel,11-07-2016,12.54.10 PM,4.4,3.9,69.875
Tamil Nadu,Coimbatore,Ramnagar,11-07-2016,1,no,4,1,3,0,1,Hotel,11-07-2016,12.54.10 PM,3.6,0,54
Tamil Nadu,Coimbatore,Avinashi Road,11-07-2016,3,no,4.6,44,18,4,2,Hotel,11-07-2016,12.54.10 PM,4.3,3.4,68.75
Tamil Nadu,Coimbatore,Gandhipuram,11-07-2016,1,no,4.4,32,3,2,0,Hotel,11-07-2016,12.54.10 PM,4.6,2.8,70.5
Tamilnadu,Coimbatore,"Geetha Hall Road, City Centre",11-07-2016,1,yes,4.1,16,8,7,7,Hotel,11-07-2016,12.54.10 PM,3.5,2.6,57.75
Karnataka,Coorg,Kushalnagar,11-07-2016,2,no,4.2,15,14,22,5,Hotel,11-07-2016,12.54.10 PM,3.3,1.8,55.25
Karnataka,Coorg,Kodagu,11-07-2016,4,no,4.2,5,2,0,0,Hotel,11-07-2016,12.54.10 PM,4.2,4,69
Tamilnadu,Coimbatore,Coimbatore Railway Station,11-07-2016,3,no,4.5,6,0,3,1,Hotel,11-07-2016,12.54.10 PM,3.8,2,61.5
Karnataka,Coorg,Kadagadal Village,11-07-2016,4,no,4.4,6,3,0,0,Hotel,11-07-2016,12.54.10 PM,4.3,3,69.25
Karnataka,Coorg,Madikeri,11-07-2016,2,no,4.3,5,8,5,0,Hotel,11-07-2016,12.54.10 PM,3.6,3.2,61
Tamil Nadu,Coimbatore,Avinashi Road,11-07-2016,3,no,4.4,24,10,5,3,Hotel,11-07-2016,12.54.10 PM,4,2.2,64.25
Kerala,Cochin,Cochin South Railway Station,11-07-2016,1,no,4.2,1,0,3,0,Hotel,11-07-2016,12.54.10 PM,3.2,2,44.5
Tamil Nadu,Coimbatore,Nava India,11-07-2016,1,no,5,1,0,0,0,Hotel,11-07-2016,12.54.10 PM,5,0,75
Mahrashtra,Mumbai,Mumbai Domestic Airport,28-08-2016,2,no,4.2,8,20,16,6,Hotel,28-08-2016,3.43.14 PM,3.3,2.6,56.75
New Delhi,New Delhi And NCR,Karol Bagh,28-08-2016,3,no,4,2,1,0,0,Hotel,28-08-2016,3.43.14 PM,4.7,1.7,59.125
Gujarat,Vadodara,VIP Road,28-08-2016,3,no,4.6,4,1,3,0,Hotel,28-08-2016,3.43.14 PM,4.1,2.9,65.625
Karnataka,Bangalore,Electronic City,28-08-2016,4,no,4.6,23,4,1,0,Hotel,28-08-2016,3.43.14 PM,4.5,3.3,72.625
Maharastra,Mumbai,Mumbai Domestic Airport,28-08-2016,3,no,4.5,76,52,11,10,Hotel,28-08-2016,3.43.14 PM,3.9,3.2,66.5
Maharashtra,Mumbai,Navi Mumbai,28-08-2016,2,no,3.2,3,1,1,0,Hotel,28-08-2016,3.43.14 PM,4.2,3.8,63.25
Karnataka,Bangalore,High Grounds,28-08-2016,5,no,4.6,84,26,8,1,Hotel,28-08-2016,3.43.14 PM,4.4,2.8,68.5
Karnataka,Bangalore,Jayanagar,28-08-2016,4,no,4.5,36,14,9,3,Hotel,28-08-2016,3.43.14 PM,3.9,1.9,63.875
Maharastra,Mumbai,Navi Mumbai,28-08-2016,3,no,4.2,24,9,5,1,Hotel,28-08-2016,3.43.14 PM,4.5,2.8,65.5
Maharastra,Mumbai,Andheri (East),28-08-2016,3,no,4.6,42,7,5,0,Hotel,28-08-2016,3.43.14 PM,4.4,3,70.75
Maharashatra,Mumbai,Navi Mumbai,28-08-2016,4,no,4,9,4,0,0,Hotel,28-08-2016,3.43.14 PM,4.3,3.1,64.875
Karnataka,Bangalore,Koramangala,28-08-2016,3,no,4.4,21,2,3,0,Hotel,28-08-2016,3.43.14 PM,4.5,1.7,67.625
New Delhi,New Delhi And NCR,Karol Bagh,28-08-2016,3,no,4.3,5,5,1,0,Hotel,28-08-2016,3.43.14 PM,4.3,4.1,69.125
Karnataka,Bangalore,Bangalore Airport Road,28-08-2016,3,no,4.4,4,2,4,0,Hotel,28-08-2016,3.43.14 PM,3.7,2.3,60.375
New Delhi,New Delhi And NCR,Karol Bagh,28-08-2016,3,no,5,7,0,0,0,Hotel,28-08-2016,3.43.14 PM,4.6,0.6,72.75
Maharastra,Mumbai,Andheri (East),28-08-2016,2,yes,4.1,28,11,4,0,Hotel,28-08-2016,3.43.14 PM,4.4,2.8,64
Goa,Goa,South Goa,28-08-2016,2,no,4.7,97,18,6,0,Hotel,28-08-2016,3.43.14 PM,4.6,2.4,71.5
tamil nadu,Vellore,Sathuvachari,28-08-2016,1,no,3.7,5,9,28,0,Hotel,28-08-2016,3.43.14 PM,2.7,0.5,44.625
Karnataka,Bangalore,Jayanagar,28-08-2016,3,no,4.3,56,61,22,17,Hotel,28-08-2016,3.43.14 PM,3.6,2.4,58.5
Maharastra,Mumbai,Panvel,28-08-2016,3,no,4.5,2,2,0,0,Resort,28-08-2016,3.43.14 PM,4.2,3,69.75
Rajasthan,Jaipur,Tehsil Amer,28-08-2016,5,no,4.4,57,12,5,2,Hotel,28-08-2016,3.43.14 PM,4.3,2.9,64.625
Varanasi,Varanasi,Shivala,28-08-2016,1,no,3,0,0,2,1,Hotel,28-08-2016,3.43.14 PM,3,2.5,45.625
Maharashtra,Mumbai,Malad,28-08-2016,5,no,4.8,23,0,0,0,Hotel,28-08-2016,3.43.14 PM,4.8,2.4,71
Gujarat,Vadodara,Vadodara,28-08-2016,2,yes,4.6,22,5,4,0,Hotel,28-08-2016,3.43.14 PM,4.5,2.2,68.25
New Delhi,New Delhi And NCR,Karol Bagh,28-08-2016,3,no,4,3,2,0,0,Hotel,28-08-2016,3.43.14 PM,4.2,1,60.25
Karnataka,Bangalore,M G Road,28-08-2016,4,no,4.5,71,22,6,1,Hotel,28-08-2016,3.43.14 PM,4.3,2.4,67.5
DELHI,New Delhi And NCR,Mahipalpur,28-08-2016,3,no,4.4,9,2,2,1,Hotel,28-08-2016,3.43.14 PM,4.2,1.9,64.875
Rajasthan,Udaipur,Bhatiyani Chohatta,28-08-2016,1,no,3.6,0,3,4,0,Hotel,28-08-2016,3.43.14 PM,2.7,1.7,45.625
Goa,Goa,Mandrem Beach,28-08-2016,4,no,4.9,25,3,5,0,Hotel,28-08-2016,3.43.14 PM,4,1.9,68.375
Himachal Pradesh,Dharamshala,Mcleodganj,25-07-2016,3,no,3.6,6,10,15,0,Hotel,25-07-2016,11.48.58 AM,3.4,3,55.75
Himachal Pradesh,Dharamshala,Mcleodganj,25-07-2016,1,no,4.4,44,9,6,3,Hotel,25-07-2016,11.48.58 AM,4.5,2.8,67.5
Himachal Pradhesh,Dalhousie,Gandhi Chowk,25-07-2016,2,no,3.8,0,1,2,1,Hotel,25-07-2016,11.48.58 AM,3.2,2,52.5
Uttrakhand,Dehradun,Rajpur,25-07-2016,3,no,3.4,0,3,1,0,Hotel,25-07-2016,11.48.58 AM,3.2,0,50
Himachal Pradesh,Dalhousie,Near Gandhi Chowk,25-07-2016,1,no,4.6,10,3,2,1,Hotel,25-07-2016,11.48.58 AM,4.2,2.1,64.625
West Bengal,Darjeeling,Dr Zakir Hussain Road,25-07-2016,2,no,3.2,0,3,0,0,Hotel,25-07-2016,11.48.58 AM,4.3,5,62.25
West Bengal,Darjeeling,Chowrasta,25-07-2016,2,no,4.7,15,8,6,3,Hotel,25-07-2016,11.48.58 AM,4.2,2,64.5
Himachal Pradesh,Dharamshala,Khanyara,25-07-2016,2,no,4,1,0,1,0,Hotel,25-07-2016,11.48.58 AM,4,1.3,61.625
West Bengal,Darjeeling,North Darjeeling,25-07-2016,2,no,4.6,13,5,6,0,Hotel,25-07-2016,11.48.58 AM,4.4,1.3,63.125
Uttrakhand,Dehradun,Majra,25-07-2016,4,no,4.3,18,4,0,2,Hotel,25-07-2016,11.48.58 AM,4.4,2.4,66
Uttrakhand,Dehradun,Chakrata Road,25-07-2016,1,no,4,0,1,0,0,Hotel,25-07-2016,11.48.58 AM,4,0,40
Uttrakhand,Dehradun,Old Mussoorie Road,25-07-2016,1,no,4,0,1,0,0,Hotel,25-07-2016,11.48.58 AM,4,0,60
Himachal Pradesh,Dharamshala,Dal Lake,25-07-2016,2,no,4.1,6,1,4,2,Hotel,25-07-2016,11.48.58 AM,3.6,1,53.75
Himachal Pradesh,Dharamshala,Dharamshala Road,25-07-2016,4,no,3.4,1,2,2,2,Hotel,25-07-2016,11.48.58 AM,3.5,3.2,55
Maharashtra,Dapoli,Dapoli Camp.,25-07-2016,3,no,4.7,41,4,1,1,Hotel,25-07-2016,11.48.58 AM,4.6,3.3,73.125
HP,Dalhousie,Gandhi Chowk,25-07-2016,2,no,4,7,5,4,4,Hotel,25-07-2016,11.48.58 AM,3.5,2.6,55.25
Himachal Pradesh,Khajjiar,Khajjiar Chamba Road,25-07-2016,3,no,4.3,31,11,5,5,Hotel,25-07-2016,11.48.58 AM,4.3,2.2,63.75
Uttrakhand,Dehradun,Kaulagarh road,25-07-2016,3,yes,4.2,11,1,2,0,Hotel,25-07-2016,11.48.58 AM,4.4,2.4,69
Uttrakhand,Devprayag,Devaprayag,25-07-2016,1,no,4,0,0,1,0,Hotel,25-07-2016,11.48.58 AM,4,4,60
Jharkhand,DEOGHAR,Tower Chowk,25-07-2016,2,no,4.7,15,7,7,1,Hotel,25-07-2016,11.48.58 AM,3.9,1.7,63.125
West Bengal,Darjeeling,Chowrasta,25-07-2016,3,no,4.5,18,5,2,1,Hotel,25-07-2016,11.48.58 AM,4.4,2.9,69.625
Uttaranchal,Dhanaulti,Mussoorie- Chamba Highway,25-07-2016,3,no,4.3,4,2,3,0,Hotel,25-07-2016,11.48.58 AM,4,1,61.75
Uttrakhand,Dehradun,GMS Road,25-07-2016,3,no,3.8,6,2,4,0,Hotel,25-07-2016,11.48.58 AM,3.6,2.5,58.625
Himachal,Dharamshala,Naddi,25-07-2016,2,no,3.3,3,3,1,2,Hotel,25-07-2016,11.48.58 AM,3.6,1.6,53.5
Himachal Pradesh,Dharamshala,"Temple Road, Mcleodganj",25-07-2016,3,no,3.8,0,2,1,1,Hotel,25-07-2016,11.48.58 AM,3,0,49
Karnataka,Dandeli,GaneshgudiÂ ,25-07-2016,3,no,4.3,1,5,4,4,Hotel,25-07-2016,11.48.58 AM,2.9,2.8,55.5
Rajasthan,Mount Abu,Mt Abu Rd,22-08-2016,3,no,3.8,0,0,6,0,Hotel,22-08-2016,7.46.26 PM,2.7,2.5,50.625
Uttar Pradesh,Moradabad,Budh Bazaar,22-08-2016,1,no,4.7,15,2,0,0,Hotel,22-08-2016,7.46.26 PM,4.8,1.9,71.375
Uttar Pradesh,Mathura,DAMPIER NAGAR,22-08-2016,2,no,3.8,1,2,5,0,Hotel,22-08-2016,7.46.26 PM,3.6,0.9,57.125
Rajasthan,Jaisalmer,Jaisalmer Fort,22-08-2016,2,no,4.5,1,1,0,0,Hotel,22-08-2016,7.46.26 PM,4,2,65
Haryana,Kalka,Railway Road,22-08-2016,1,no,4.6,27,15,10,4,Hotel,22-08-2016,7.46.26 PM,4.1,2,64.5
Rajasthan,Mount Abu,Nakki Lake,22-08-2016,2,no,4,1,2,0,1,Hotel,22-08-2016,7.46.26 PM,3.2,2,53.5
Madhya Pradesh,Indore,Vijay Nagar,22-08-2016,3,no,4.2,12,7,8,4,Hotel,22-08-2016,7.46.26 PM,3.9,3.1,62.875
West Bengal,Mandarmoni,Dadanpatra,22-08-2016,3,no,4,1,0,1,0,Hotel,22-08-2016,7.46.26 PM,3.5,2.5,60.625
Himachal Pradesh,Kasauli,Dharampur Kasauli Road,22-08-2016,3,no,4.5,27,14,0,0,Hotel,22-08-2016,7.46.26 PM,4.4,3.2,70.5
Karnataka,Mangalore,Mangaluru,22-08-2016,3,no,4.4,57,22,7,1,Hotel,22-08-2016,7.46.26 PM,4.4,3.3,69.625
Karnataka,Mangalore,Bendoor,22-08-2016,1,no,4.5,19,3,4,2,Hotel,22-08-2016,7.46.26 PM,4,1.7,66.625
Karnataka,Manipal,Upendra Nagar,22-08-2016,3,no,4.9,53,3,0,0,Hotel,22-08-2016,7.46.26 PM,4.7,2.9,75.625
Himachal Pradesh,Manali,Club House Road,22-08-2016,3,yes,4.4,21,5,2,3,Hotel,22-08-2016,7.46.26 PM,4.3,1.8,65.25
Jammu and Kashmir,Katra,Jammu Road,22-08-2016,4,no,4.4,77,12,3,1,Hotel,22-08-2016,7.46.26 PM,4.6,3.6,69
Uttaranchal,Haridwar,Bhupatwala Chowk,22-08-2016,3,no,4.3,3,2,2,0,Hotel,22-08-2016,7.46.26 PM,3.7,1.6,59
Himachal Pradesh,Kasauli,Kimmughat,22-08-2016,1,no,4.1,14,2,2,3,Hotel,22-08-2016,7.46.26 PM,4.3,1.7,61.625
Maharashtra,Nasik,Mumbai Agra Road,26-07-2016,3,no,4.6,83,18,6,0,Hotel,26-07-2016,2.25.47 AM,4.6,3,71.75
Maharashtra,Kolhapur,Tarabai Park,04-07-2016,1,no,4.5,11,8,4,0,Hotel,04-07-2016,3.18.49 PM,4,2.5,65.125
Rajasthan,Jodhpur,Shastri Nagar,04-07-2016,2,no,4.2,1,1,1,1,Hotel,04-07-2016,3.18.49 PM,3.6,3.4,62.25
Maharashtra,Pune,Pune Railway Station,04-07-2016,4,no,4,38,21,19,3,Hotel,04-07-2016,3.27.27 PM,3.8,2.9,61.625
Orissa,Rourkela,Rourkela Railway Station,04-07-2016,3,no,4.6,4,1,0,0,Hotel,04-07-2016,3.27.27 PM,4.5,0,60
Maharashtra,Mumbai,Malad,04-07-2016,1,no,3.5,0,1,1,0,Hotel,04-07-2016,3.27.27 PM,2.5,1,51.25
South Kolkata,Kolkata,Park Street,25-07-2016,2,no,4,0,0,1,0,Hotel,25-07-2016,10.09.49 PM,2,2,42.5
Andaman and Nicobar,Havelock,Radhanagar,25-07-2016,3,no,4.1,2,0,2,1,Hotel,25-07-2016,10.09.49 PM,3.8,3,61.25
Rajasthan,Mount Abu,Delwara Road,25-07-2016,3,no,4.3,2,0,1,0,Hotel,25-07-2016,10.09.49 PM,4,0.7,62.375
Telangana,Hyderabad,Hi Tech City,25-07-2016,2,yes,4.1,8,15,16,10,Hotel,25-07-2016,10.09.49 PM,2.9,2.3,52.875
Sikkim,Gangtok,Near MG Marg,25-07-2016,3,no,4.3,11,9,5,1,Hotel,25-07-2016,10.09.49 PM,4,2,62.5
Rajasthan,Kota,Jhalawar,25-07-2016,3,no,4.6,24,6,1,0,Hotel,25-07-2016,10.09.49 PM,4.6,1.8,69.25
Rajasthan,Bikaner,Karni Singh Stadium,25-07-2016,2,no,4.8,2,2,0,0,Hotel,25-07-2016,10.09.49 PM,3.6,3.8,69.75
Jammu & Kashmir,Gulmarg,Gondola,25-07-2016,3,no,4.5,22,9,3,4,Hotel,25-07-2016,10.09.49 PM,4.2,3.7,67.625
Gujarat,Nadiad,Nadiad,25-07-2016,3,no,4.5,3,1,1,0,Hotel,25-07-2016,10.09.49 PM,4.5,1.7,68.625
Maharashtra,Nagpur,Ganeshpeth,25-07-2016,1,yes,4,5,8,9,3,Hotel,25-07-2016,10.09.49 PM,3.4,1.9,56.375
Bihar,Gaya,Station Road,25-07-2016,2,no,4.2,4,4,6,0,Hotel,25-07-2016,10.09.49 PM,3.6,2.8,60
Uttar Pradesh,Kanpur,Barra-4,25-07-2016,2,no,3.6,5,3,5,4,Hotel,25-07-2016,10.09.49 PM,3,3.1,53.375
Karnataka,Coorg,Kakkabe,25-07-2016,4,no,3.9,24,17,13,6,Hotel,25-07-2016,10.09.49 PM,4,3.6,63
Rajasthan,Jodhpur,Near Clock Tower,25-07-2016,1,no,5,0,0,0,0,Hotel,25-07-2016,10.09.49 PM,3,3,63.75
West Bengal,Kolkata,Elgin,25-07-2016,1,no,4.2,10,9,3,4,Hotel,25-07-2016,10.09.49 PM,3.7,3.4,61.25
Gujarat,Anand,Vallabh Vidyanagar,25-07-2016,5,no,4.9,34,2,0,0,Hotel,25-07-2016,10.09.49 PM,4.7,2.2,73.25
West Bengal,Kolkata,Theatre Road,25-07-2016,3,no,4.8,23,5,1,1,Hotel,25-07-2016,10.09.49 PM,4.3,2.6,69.75
Madhya Pradesh,Bhopal,MP Nagar,25-07-2016,2,no,3.5,1,0,0,1,Hotel,25-07-2016,10.09.49 PM,3.5,2.5,55.625
kerala,Cochin,Cochin South Railway Station,25-07-2016,2,no,4.3,4,6,8,2,Hotel,25-07-2016,10.09.49 PM,3.4,2.8,59.5
Uttarakhand,Kausani,Kausani Estate,25-07-2016,3,no,4.6,1,1,2,2,Hotel,25-07-2016,10.09.49 PM,3.4,2.2,57.75
Karnataka,Bangalore,M G Road,12-07-2016,3,no,4.2,8,2,1,0,Hotel,12-07-2016,12.50.11 AM,4.2,3.7,68.125
Maharashtra,Mumbai,South Mumbai,04-09-2016,1,no,4.8,33,3,1,0,Hotel,04-09-2016,1.14.05 AM,4.7,2.4,73.5
Karnataka,Bangalore,Majestic,04-09-2016,1,no,3.7,21,40,31,15,Hotel,04-09-2016,1.14.05 AM,3.4,1.7,53.625
Karnataka,Bangalore,Bangalore Airport Road,04-09-2016,3,yes,4.5,7,2,0,0,Hotel,04-09-2016,1.14.05 AM,4.6,3.7,72.625
Karnataka,Bangalore,M G Road,04-09-2016,3,no,4.4,8,8,3,0,Hotel,04-09-2016,1.14.05 AM,3.7,3.1,63.375
Haryana,New Delhi And NCR,"DLF Phase II, Gurgaon",04-09-2016,3,no,3.3,1,0,1,1,Hotel,04-09-2016,1.14.05 AM,2.3,1,42.75
Maharashtra,Mumbai,Mumbai Domestic Airport,04-09-2016,2,no,4,11,10,20,3,Hotel,04-09-2016,1.14.05 AM,3.2,1.1,52.875
Karnataka,Bangalore,MG Road Bangalore,04-09-2016,1,no,4.8,13,0,3,0,Hotel,04-09-2016,1.14.05 AM,4.6,2.2,71.75
Maharashtra,Mumbai,Andheri (East),04-09-2016,5,no,4.5,179,42,16,3,Hotel,04-09-2016,1.14.05 AM,4.3,3.9,69.875
Maharashtra,Mumbai,South Mumbai,04-09-2016,2,no,2.6,0,0,2,5,Hotel,04-09-2016,1.14.05 AM,2,0.7,30.875
Maharashtra,Mumbai,South Mumbai,04-09-2016,2,no,3.4,2,2,4,1,Hotel,04-09-2016,1.14.05 AM,2.4,0.6,47.25
Maharashtra,Mumbai,Khar,04-09-2016,1,no,3.7,8,19,5,2,Hotel,04-09-2016,1.14.05 AM,3.9,3.2,58.5
Maharastra,Mumbai,Bandra Kurla Complex,04-09-2016,5,no,4.9,35,1,0,0,Hotel,04-09-2016,1.14.05 AM,4.9,2.5,75.125
Maharashtra,Mumbai,South Mumbai,04-09-2016,2,no,3.9,8,5,6,0,Hotel,04-09-2016,1.14.05 AM,4.1,1.6,57
Maharashtra,Mumbai,Andheri (East),04-09-2016,1,no,3.5,12,9,27,3,Hotel,04-09-2016,1.14.05 AM,3.1,1.9,50.875
Maharahtra,Mumbai,Juhu Beach,04-09-2016,2,no,4.1,17,20,25,17,Hotel,04-09-2016,1.14.05 AM,3.3,2.3,54.375
Karnataka,Mysore,Sri Harsha Road,27-06-2016,2,yes,4.6,38,46,7,1,Hotel,27-06-2016,6.45.34 AM,4.1,3.3,65.625
Tamil Nadu,Vellore,Anna Salai,27-06-2016,1,no,4.6,10,3,0,0,Hotel,27-06-2016,6.45.34 AM,4.6,3.1,66.875
Andhra Pradesh,Tirupati,TP Area,27-06-2016,3,no,4.8,52,18,2,2,Hotel,27-06-2016,6.45.34 AM,4.4,3.4,68.75
Andhra pradesh,Tirupati,Tirupati Railway Station,27-06-2016,3,no,4.3,108,120,30,9,Hotel,27-06-2016,6.45.34 AM,3.9,3.5,63.375
Tamil Nadu,Chennai,City Center,27-06-2016,4,no,4.6,402,190,60,12,Hotel,27-06-2016,6.45.34 AM,4.1,3.9,68.375
Tamil Nadu,Chennai,Chennai Airport Road,27-06-2016,4,no,4.5,99,37,17,5,Hotel,27-06-2016,6.45.34 AM,4.2,3.2,65.5
Tamil Nadu,Chennai,US Consulate Area,27-06-2016,5,no,4.7,189,11,6,2,Hotel,27-06-2016,6.45.34 AM,4.6,3.8,71.75
Tamil Nadu,Chennai,Koyambedu,27-06-2016,4,no,4.4,24,7,1,1,Hotel,27-06-2016,6.45.34 AM,4.2,3.7,68.625
Karnataka,Mysore,Sayyaji Rao Road,27-06-2016,2,yes,4.6,114,22,6,1,Hotel,27-06-2016,6.45.34 AM,4.5,3.4,69.25
Chennai,Chennai,Thousand Lights East,27-06-2016,2,no,4.5,18,20,11,4,Hotel,27-06-2016,6.45.34 AM,4,2.9,60.625
Karnataka,Mysore,Ramanuja Road,27-06-2016,2,no,4.2,41,16,17,1,Hotel,27-06-2016,6.45.34 AM,4,2.1,57.125
Karnataka,Mysore,K.R.S. Road,27-06-2016,3,no,4.2,22,6,7,2,Hotel,27-06-2016,6.45.34 AM,4,3,62.25
Andra Pradesh,Tirupati,PK Layout,27-06-2016,1,no,3.8,28,61,31,14,Hotel,27-06-2016,6.45.34 AM,3.6,2,56.5
Tamil Nadu,Yercaud,Killiyur Falls Road,27-06-2016,2,no,4.2,12,12,5,3,Hotel,27-06-2016,6.45.34 AM,3.8,2.8,60.5
Tamil Nadu,Yercaud,Lady's Seat Road,27-06-2016,1,no,4.1,12,9,8,3,Hotel,27-06-2016,6.45.34 AM,3.7,3.2,62
KARNATAKA,Mysore,Hebbal,27-06-2016,5,no,4.2,272,36,8,1,Hotel,27-06-2016,6.45.34 AM,4.7,4,70.5
Andhrapradesh,Tirupati,PK Layout,27-06-2016,1,no,3.4,1,5,8,6,Hotel,27-06-2016,6.45.34 AM,2.7,1.7,43.125
Tamil Nadu,Chennai,"Chennai Guindy, Airport Road",27-06-2016,5,no,4.6,110,32,9,3,Hotel,27-06-2016,6.45.34 AM,4.2,3.7,69.625
Karnataka,Mysore,Dr. Nelson Mandela Road,27-06-2016,3,no,4.7,21,8,6,1,Hotel,27-06-2016,6.45.34 AM,3.9,3.2,66.5
Andhra Pradesh,Tirupati,Tirupati Railway Station,27-06-2016,3,yes,4.4,103,23,5,2,Hotel,27-06-2016,6.45.34 AM,4.5,3,67.25
Tamilnadu,Mahabalipuram,Mahabalipuram,27-06-2016,1,no,4.3,10,4,3,0,Hotel,27-06-2016,6.45.34 AM,4.2,1.6,56
Karnataka,Mysore,Hunsur Main Road,27-06-2016,2,yes,4.5,10,1,2,0,Hotel,27-06-2016,6.45.34 AM,4.2,3.7,66.125
TamilNadu,Chennai,Kodambakkam,27-06-2016,2,yes,4.8,23,3,3,0,Hotel,27-06-2016,6.45.34 AM,4.5,3.8,70.75
Andhra Pradesh,Tirupati,P K Layout,27-06-2016,1,no,3.6,6,6,4,3,Hotel,27-06-2016,6.45.34 AM,3.6,1.9,49.375
Karnataka,Mysore,MG Road  Mysore,27-06-2016,5,no,4.9,250,10,2,0,Hotel,27-06-2016,6.45.34 AM,4.8,3,68.25
Karnataka,Mysore,MG Road  Mysore,27-06-2016,3,no,4.8,17,3,2,0,Hotel,27-06-2016,6.45.34 AM,4.4,3.8,71.25
Andhra Pradesh,Kurnool,N R Peta,27-06-2016,3,no,5,41,1,0,0,Hotel,27-06-2016,6.45.34 AM,4.9,2.7,66.875
Tamil Nadu,Chennai,Chennai Airport Road,27-06-2016,1,yes,4.8,33,1,0,1,Hotel,27-06-2016,6.45.34 AM,4.7,0.8,53
Punjab,Chandigarh,Sector 17C Chandigarh,27-06-2016,2,no,4.7,43,17,8,2,Hotel,27-06-2016,6.45.34 AM,4.1,2.4,60.5
Punjab,Chandigarh,Sector 17 Chandigarh,27-06-2016,4,no,4.8,57,17,8,0,Hotel,27-06-2016,6.45.34 AM,4.2,2.6,62.25
Himachal Pradesh,Manali,Club House Road,27-06-2016,1,yes,4.3,19,6,1,3,Hotel,27-06-2016,6.45.34 AM,4.3,2,59
